,year,weekNumber,month,distance,total_elevation_gain,elapsed_time,pr_count,average_speed,average_watts,average_temp,count
67,2016,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,2017,11,2.0,16.803293971410813,889.10493,4386.0,0.0,16.39005938,148.9,0.0,1.0
69,2018,11,2.0,98.55090118085768,7093.482543,21969.0,2.0,17.661014123333334,214.86666666666667,35.0,6.0
70,2019,11,2.0,5.227905531385955,679.13181,1937.0,0.0,10.553882920000001,526.2,55.400000000000006,1.0
71,2020,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,2015,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,2016,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,2017,12,3.0,95.81914232442512,5283.120549000001,20541.0,5.0,16.916858750000003,169.5,0.0,4.0
75,2018,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,2019,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,2020,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,2015,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,2016,13,3.0,24.605344934742075,0.0,5040.0,0.0,17.571163700000003,0.0,0.0,2.0
80,2017,13,3.0,101.90596643878186,4667.964923999999,23957.0,24.0,16.240631788,145.38,0.0,5.0
81,2018,13,3.0,12.721379738968304,1604.9820359999999,6093.0,0.0,10.173603120000001,113.9,51.8,1.0
82,2019,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,2020,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,2015,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,2016,14,3.0,8.301802361715351,0.0,2160.0,0.0,13.83323696,0.0,0.0,1.0
86,2017,14,3.0,138.26631448104413,6896.30466,27662.0,32.0,17.939699565,169.8,0.0,8.0
87,2018,14,3.0,148.92069608452454,7590.200204999999,37472.0,1.0,16.439831294999998,188.32500000000002,45.5,4.0
88,2019,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,2020,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,2015,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,2016,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,2017,15,3.0,104.86861404599131,5775.901215,29668.0,16.0,14.852163130000003,137.3,0.0,10.0
93,2018,15,3.0,113.05842137973896,9005.878349999999,26239.0,13.0,17.20057730666667,192.8166666666667,41.3,6.0
94,2019,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,2020,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,2015,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,2016,16,3.0,13.102796768178994,0.0,2746.0,0.0,17.17298838,0.0,0.0,1.0
98,2017,16,3.5,193.19807333747673,5747.6860769999985,44426.0,48.0,16.019286575000002,150.13749999999996,0.0,8.0
99,2018,16,3.0,185.25040397762587,12830.341880999998,38478.0,8.0,18.38285335714286,215.11428571428567,54.114285714285714,7.0
100,2019,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,2020,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,2015,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,2016,17,4.0,27.305904288377874,0.0,5670.0,0.0,17.45707976,0.0,0.0,2.0
104,2017,17,4.0,171.24499689247978,4497.361764,33307.0,16.0,19.101230660000002,166.83999999999997,0.0,5.0
105,2018,17,4.0,114.50229956494717,4494.7371,28498.0,18.0,14.702128368571431,167.2,73.14285714285714,7.0
106,2019,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,2020,17,4.0,19.247296457426973,771.323133,5712.0,0.0,13.62520154,118.75,0.0,2.0
108,2015,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,2016,18,4.0,22.278247358607832,90.222825,5869.0,0.0,12.690906266666667,62.9,0.0,3.0
110,2017,18,4.0,127.52566811684277,4424.527338,24984.0,22.0,18.90326147,161.82,0.0,6.0
111,2018,18,4.0,125.07228091982597,5022.9507300000005,107283.0,13.0,16.380365973333333,185.71666666666667,55.70000000000001,6.0
112,2019,18,4.0,12.01491609695463,613.51521,3064.0,0.0,14.988616470000004,111.55,51.8,2.0
113,2020,18,4.0,7.325792417650715,334.64466,1565.0,0.0,17.325100300000003,154.9,62.6,1.0
114,2015,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,2016,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,2017,19,4.0,126.69664387818521,4443.556151999999,25854.0,20.0,15.730534903333334,196.35000000000002,65.60000000000001,6.0
117,2018,19,4.0,123.2103169670603,3961.930308,26053.0,16.0,18.542890436,224.51999999999998,56.48,5.0
118,2019,19,4.0,21.538906152889993,856.2966299999999,5181.0,1.0,15.615332493333336,221.63333333333333,49.4,3.0
119,2020,19,4.0,42.85773772529522,1658.787648,9570.0,2.0,16.43479818,138.1,57.800000000000004,3.0
120,2015,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,2016,20,4.0,4.700994406463642,0.0,1500.0,0.0,11.280888420000002,0.0,0.0,1.0
122,2017,20,4.2,178.62529521441888,10297.541121,38802.0,14.0,17.608296904,197.6,59.000000000000014,5.0
123,2018,20,4.0,181.24474829086387,6649.586243999999,36217.0,53.0,19.009963508000006,216.01999999999998,75.20000000000002,5.0
124,2019,20,4.0,6.272467371037911,1535.42844,9955.0,0.0,6.699635300000001,130.4,60.8,1.0
125,2020,20,4.0,48.913175885643255,1515.415377,9993.0,2.0,17.932056686666666,148.70000000000002,69.2,3.0
126,2015,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,2016,21,4.571428571428571,54.738160348042264,1196.518701,13371.0,3.0,15.290124025714288,123.77142857142857,0.0,7.0
128,2017,21,5.0,156.66438781852082,5864.811708,31757.0,29.0,18.767479212,197.95999999999998,60.44,5.0
129,2018,21,4.5,88.30683654443754,3165.0167009999996,17544.0,19.0,19.41216532,225.3,60.800000000000004,2.0
130,2019,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,2020,21,4.0,37.310192666252334,1128.60552,10057.0,1.0,15.87332624,122.9,67.10000000000001,2.0
132,2015,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,2016,22,5.0,40.82871348663766,938.9735459999999,9916.0,6.0,17.12936805,136.5,0.0,2.0
134,2017,22,5.0,160.38850217526414,8115.789170999999,35626.0,18.0,17.179251812,158.82,70.16,5.0
135,2018,22,5.0,127.4252330640149,9249.315935999999,29910.0,10.0,16.462983624000003,165.16,65.0,5.0
136,2019,22,5.0,15.398570540708514,544.61778,5670.0,0.0,10.80218326,107.9,71.6,1.0
137,2020,22,5.0,63.80422622747048,2387.1319080000003,13434.0,5.0,17.63901754666667,149.63333333333333,69.2,3.0
138,2015,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,2016,23,5.0,29.080484773151024,622.701534,6223.0,8.0,16.976696895000003,129.0,0.0,4.0
140,2017,23,5.0,128.57737725295215,3956.0248139999994,27956.0,22.0,17.857811582857146,184.41428571428568,68.77142857142857,7.0
141,2018,23,5.0,62.67756370416408,3367.771995,15341.0,12.0,15.983383688000004,197.75,68.0,5.0
142,2019,23,5.0,10.916283405842137,492.78066599999994,3626.0,3.0,11.960918180000002,34.2,0.0,1.0
143,2020,23,5.0,82.09894344313238,3467.8373100000003,18407.0,9.0,16.28939708,129.23333333333335,65.0,3.0
144,2015,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,2016,24,5.0,19.12461155997514,267.387645,4360.0,16.0,16.199919480000002,125.3,0.0,1.0
146,2017,24,5.0,191.48427594779366,10406.464677,42064.0,40.0,18.465044924,198.61999999999998,68.0,5.0
147,2018,24,5.0,100.57924176507147,8949.776157,27575.0,0.0,15.047895380000002,166.6,75.2,1.0
148,2019,24,5.0,20.754008701056556,918.6324,4906.0,4.0,17.01640258,408.0,73.4,1.0
