,year,month,weekNumber,distance,total_elevation_gain,elapsed_time,pr_count,average_speed,average_watts,average_temp,count
51,2018,8,36.28,277.18601615910507,27361.137951,1075953.0,33.0,9.7998551848,126.1375,64.25,25.0
52,2019,8,35.25,133.63617153511498,4941.914229,28197.0,16.0,17.8443499975,304.25,66.875,8.0
53,2020,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,2015,9,40.44444444444444,81.31746426351772,0.0,19489.0,0.0,15.19155663777778,0.0,0.0,9.0
55,2016,9,41.25,60.92523306401492,1417.6466429999998,16827.0,20.0,10.7918374125,162.475,0.0,8.0
56,2017,9,39.892857142857146,495.2303293971411,24986.801279999996,145453.0,131.0,12.947089157142859,159.2807692307692,58.4,28.0
57,2018,9,39.5,22.179428216283405,1794.61401,5912.0,0.0,13.49322208,157.6,65.30000000000001,2.0
58,2019,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,2020,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,2015,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,2016,10,44.55555555555556,256.17930391547543,11809.675667999998,56080.0,26.0,17.41830613333333,161.3,0.0,18.0
62,2017,10,44.25,256.5845245494096,12183.362205,65241.0,21.0,13.666584930000003,137.1076923076923,41.9,16.0
63,2018,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,2019,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,2020,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,2015,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,2016,11,48.5,221.29546302050963,1838.905215,40955.0,32.0,19.565555491428572,149.475,0.0,14.0
68,2017,11,47.285714285714285,71.87973896830329,3167.641365,23663.0,20.0,12.878383142857144,134.58571428571426,35.6,7.0
69,2018,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,2019,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,2020,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
