,year,weekNumber,month,distance,total_elevation_gain,elapsed_time,pr_count,average_speed,average_watts,average_temp,count
100,2015,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,2016,20,4.0,7563.9,0.0,1500.0,0.0,5.043,0.0,0.0,1.0
102,2017,20,4.2,287408.1,3138.7,38802.0,14.0,7.871600000000001,197.6,15.0,5.0
103,2018,20,4.0,291622.8,2026.8,36217.0,53.0,8.4982,216.01999999999998,24.0,5.0
104,2019,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,2015,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,2016,21,4.571428571428571,88073.7,364.7,13371.0,3.0,6.835285714285713,123.77142857142857,0.0,7.0
107,2017,21,5.0,252073.0,1787.6,31757.0,29.0,8.389800000000001,197.95999999999998,15.8,5.0
108,2018,21,4.5,142085.7,964.7,17544.0,19.0,8.678,225.3,16.0,2.0
109,2019,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,2015,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,2016,22,5.0,65693.4,286.2,9916.0,6.0,7.6575,136.5,0.0,2.0
112,2017,22,5.0,258065.1,2473.7,35626.0,18.0,7.6798,158.82,21.2,5.0
113,2018,22,5.0,205027.19999999998,2819.2,29910.0,10.0,7.3596,165.16,18.333333333333332,5.0
114,2019,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,2015,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,2016,23,5.0,46790.5,189.8,6223.0,8.0,7.589249999999999,129.0,0.0,4.0
117,2017,23,5.0,206881.0,1205.8,27956.0,22.0,7.983142857142857,184.41428571428574,20.428571428571427,7.0
118,2018,23,5.0,100848.2,1026.5,15341.0,12.0,7.1452,197.75,20.0,5.0
119,2019,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
